district,latitude,longitude,baseline_dn,slope_dn_year,mean_stable_lights,avg_vis,cf_cvg,sensor_satellite,dataset_id,year_1992,year_1995,year_2000,year_2005,year_2010,year_2013
Kangra (Dharamshala),32.2190,76.3234,24.80,0.42,28.45,31.20,48,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,24.8,26.1,28.2,30.4,32.8,34.1
Mandi,31.7080,76.9320,19.50,0.36,22.80,25.40,46,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,19.5,20.6,22.4,24.2,26.1,27.4
Kullu,31.9570,77.1090,21.20,0.38,24.65,27.10,44,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,21.2,22.3,24.2,26.1,28.2,29.5
Shimla,31.1040,77.1730,42.10,0.58,47.85,52.30,52,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,42.1,43.8,46.7,49.6,52.5,54.8
Chamba,32.5540,76.1260,14.20,0.22,16.40,18.90,41,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,14.2,14.9,16.0,17.1,18.2,19.0
Solan,30.9040,77.0960,28.60,0.51,33.40,37.10,50,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,28.6,30.1,32.7,35.2,37.8,39.8
Sirmaur,30.5660,77.2970,22.40,0.34,25.60,28.40,47,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,22.4,23.4,25.1,26.8,28.5,29.8
Bilaspur,31.3340,76.7560,18.20,0.29,20.90,23.10,45,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,18.2,19.1,20.5,22.0,23.4,24.5
Hamirpur,31.6860,76.5220,17.50,0.31,20.40,22.80,48,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,17.5,18.4,20.0,21.5,23.1,24.3
Una,31.4680,76.2700,25.10,0.44,29.30,32.50,51,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,25.1,26.4,28.6,30.8,33.0,34.7
Kinnaur,31.5840,78.2720,8.40,0.12,9.60,11.20,38,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,8.4,8.8,9.4,10.0,10.6,11.1
Lahaul-Spiti,32.5710,77.3790,4.10,0.06,4.70,5.90,35,DMSP-F18,NOAA/DMSP-OLS/NIGHTTIME_LIGHTS,4.1,4.3,4.6,4.9,5.2,5.4
